Type;POS;Headword;Rank;Freq;Range;NormFreq;NormRange
nova;;;1242;2;1;115.634;1.000
nusqa;;;1242;2;1;115.634;1.000
nusqas?;;;1242;2;1;115.634;1.000
n?jib;;;1242;2;1;115.634;1.000
n?rseden;;;1242;2;1;115.634;1.000
n?rselerdi;;;1242;2;1;115.634;1.000
n?rselerdi?;;;1242;2;1;115.634;1.000
n?tiyjede;;;1242;2;1;115.634;1.000
n?zer;;;1242;2;1;115.634;1.000
n?kiske;;;1242;2;1;115.634;1.000
n?zam;;;1242;2;1;115.634;1.000
n?zamsh?l?q;;;1242;2;1;115.634;1.000
o;;;1242;2;1;115.634;1.000
oazis;;;1242;2;1;115.634;1.000
obektlerin;;;1242;2;1;115.634;1.000
of;;;1242;2;1;115.634;1.000
oktyabrde;;;1242;2;1;115.634;1.000
oktyabrden;;;1242;2;1;115.634;1.000
okus;;;1242;2;1;115.634;1.000
olimpiyada;;;1242;2;1;115.634;1.000
opera;;;1242;2;1;115.634;1.000
oq?m?sl?;;;1242;2;1;115.634;1.000
orap;;;1242;2;1;115.634;1.000
organizm;;;1242;2;1;115.634;1.000
organizmlerdi?;;;1242;2;1;115.634;1.000
orkestr;;;1242;2;1;115.634;1.000
orkestri;;;1242;2;1;115.634;1.000
or?n;;;1242;2;1;115.634;1.000
ot;;;1242;2;1;115.634;1.000
ot?r;;;1242;2;1;115.634;1.000
oy;;;1242;2;1;115.634;1.000
oyla?an;;;1242;2;1;115.634;1.000
oymash?l???;;;1242;2;1;115.634;1.000
oypatl?qlarda;;;1242;2;1;115.634;1.000
oy?nlar?;;;1242;2;1;115.634;1.000
oy?nlar?n??;;;1242;2;1;115.634;1.000
p;;;1242;2;1;115.634;1.000
parra;;;1242;2;1;115.634;1.000
patshalar;;;1242;2;1;115.634;1.000
patshas?;;;1242;2;1;115.634;1.000
paydalan?w?;;;1242;2;1;115.634;1.000
paydalan?w?a;;;1242;2;1;115.634;1.000
paydalan?an;;;1242;2;1;115.634;1.000
paydal?;;;1242;2;1;115.634;1.000
peterburgta;;;1242;2;1;115.634;1.000
petro;;;1242;2;1;115.634;1.000
peyzaj;;;1242;2;1;115.634;1.000
pikiri;;;1242;2;1;115.634;1.000
pikirinshe;;;1242;2;1;115.634;1.000
pikirleri;;;1242;2;1;115.634;1.000
poemalarda;;;1242;2;1;115.634;1.000
poemalard?;;;1242;2;1;115.634;1.000
portret;;;1242;2;1;115.634;1.000
praktikal?q;;;1242;2;1;115.634;1.000
prezentaciyas?;;;1242;2;1;115.634;1.000
prezidenti;;;1242;2;1;115.634;1.000
problemalar?na;;;1242;2;1;115.634;1.000
processinde;;;1242;2;1;115.634;1.000
prozal?q;;;1242;2;1;115.634;1.000
psixologiyal?q;;;1242;2;1;115.634;1.000
puqaralar?a;;;1242;2;1;115.634;1.000
px;;;1242;2;1;115.634;1.000
p?sh?qlar;;;1242;2;1;115.634;1.000
p?sh?qqa;;;1242;2;1;115.634;1.000
qa;;;1242;2;1;115.634;1.000
qabaq;;;1242;2;1;115.634;1.000
qab?llaw;;;1242;2;1;115.634;1.000
qalalar?n??;;;1242;2;1;115.634;1.000
qalas?nda??;;;1242;2;1;115.634;1.000
qald?m;;;1242;2;1;115.634;1.000
qalma?an;;;1242;2;1;115.634;1.000
qalpa??m;;;1242;2;1;115.634;1.000
qal?w;;;1242;2;1;115.634;1.000
qam?stan;;;1242;2;1;115.634;1.000
qan;;;1242;2;1;115.634;1.000
qansha;;;1242;2;1;115.634;1.000
qanshama;;;1242;2;1;115.634;1.000
qaplan?an;;;1242;2;1;115.634;1.000
qarama;;;1242;2;1;115.634;1.000
qaramastan;;;1242;2;1;115.634;1.000
qaraqalpaqstanda;;;1242;2;1;115.634;1.000
qarasl?;;;1242;2;1;115.634;1.000
qaras?;;;1242;2;1;115.634;1.000
qarataw;;;1242;2;1;115.634;1.000
qaraw;;;1242;2;1;115.634;1.000
qaraxaniyler;;;1242;2;1;115.634;1.000
qaray;;;1242;2;1;115.634;1.000
qarayd?;;;1242;2;1;115.634;1.000
qara?zek;;;1242;2;1;115.634;1.000
qara??m;;;1242;2;1;115.634;1.000
qarj?;;;1242;2;1;115.634;1.000
qarj?lar?n;;;1242;2;1;115.634;1.000
qarl?;;;1242;2;1;115.634;1.000
qar?z;;;1242;2;1;115.634;1.000
qas?na;;;1242;2;1;115.634;1.000
qatarlar;;;1242;2;1;115.634;1.000
qatlam?;;;1242;2;1;115.634;1.000
qatnasqan;;;1242;2;1;115.634;1.000
qatnas?;;;1242;2;1;115.634;1.000
qat?qulaq;;;1242;2;1;115.634;1.000
qaytad?;;;1242;2;1;115.634;1.000
qay??;;;1242;2;1;115.634;1.000
qazaqd?ryada;;;1242;2;1;115.634;1.000
qazaqstan?a;;;1242;2;1;115.634;1.000
qaz?lmalar;;;1242;2;1;115.634;1.000
qaz?p;;;1242;2;1;115.634;1.000
qa?azlar;;;1242;2;1;115.634;1.000
qa?azlard??;;;1242;2;1;115.634;1.000
qolayl?;;;1242;2;1;115.634;1.000
qoldawl?;;;1242;2;1;115.634;1.000
qol?a;;;1242;2;1;115.634;1.000
qosa;;;1242;2;1;115.634;1.000
qos?l?p;;;1242;2;1;115.634;1.000
qos?qlard??;;;1242;2;1;115.634;1.000
qos?qlar?nda;;;1242;2;1;115.634;1.000
qos?qt?;;;1242;2;1;115.634;1.000
qos???;;;1242;2;1;115.634;1.000
qos???n;;;1242;2;1;115.634;1.000
qoy;;;1242;2;1;115.634;1.000
qoymastan;;;1242;2;1;115.634;1.000
qoy?ld?;;;1242;2;1;115.634;1.000
qoy?nl?lar;;;1242;2;1;115.634;1.000
qoy?p;;;1242;2;1;115.634;1.000
qo??r;;;1242;2;1;115.634;1.000
qublada;;;1242;2;1;115.634;1.000
qulq?;;;1242;2;1;115.634;1.000
qun?;;;1242;2;1;115.634;1.000
qurallar;;;1242;2;1;115.634;1.000
qur?l?an;;;1242;2;1;115.634;1.000
qus;;;1242;2;1;115.634;1.000
quslar;;;1242;2;1;115.634;1.000
qutl?murat;;;1242;2;1;115.634;1.000
quw?rshaq;;;1242;2;1;115.634;1.000
quyar;;;1242;2;1;115.634;1.000
q?ddi;;;1242;2;1;115.634;1.000
q?lemeydi;;;1242;2;1;115.634;1.000
q?lemi;;;1242;2;1;115.634;1.000
q?liplesti;;;1242;2;1;115.634;1.000
q?nigelesken;;;1242;2;1;115.634;1.000
q?tquda;;;1242;2;1;115.634;1.000
q?l?sh;;;1242;2;1;115.634;1.000
q?rq;;;1242;2;1;115.634;1.000
q?r?q;;;1242;2;1;115.634;1.000
q?sqar?p;;;1242;2;1;115.634;1.000
q?ssaxan;;;1242;2;1;115.634;1.000
q?sta;;;1242;2;1;115.634;1.000
q?zd?;;;1242;2;1;115.634;1.000
q?z?q;;;1242;2;1;115.634;1.000
q?z???p;;;1242;2;1;115.634;1.000
rawajlan?w?nda;;;1242;2;1;115.634;1.000
rawajlan?w?n??;;;1242;2;1;115.634;1.000
rayonlar?nda;;;1242;2;1;115.634;1.000
rayon?nda;;;1242;2;1;115.634;1.000
rayon?n??;;;1242;2;1;115.634;1.000
resurslar?na;;;1242;2;1;115.634;1.000
roman;;;1242;2;1;115.634;1.000
romantikal?q;;;1242;2;1;115.634;1.000
rustam;;;1242;2;1;115.634;1.000
saat;;;1242;2;1;115.634;1.000
sald?;;;1242;2;1;115.634;1.000
saljukiyler;;;1242;2;1;115.634;1.000
salmaql?;;;1242;2;1;115.634;1.000
sal?st?r?anda;;;1242;2;1;115.634;1.000
san?;;;1242;2;1;115.634;1.000
sat?q;;;1242;2;1;115.634;1.000
sawat?n;;;1242;2;1;115.634;1.000
sawda;;;1242;2;1;115.634;1.000
saxnalast?r?ld?;;;1242;2;1;115.634;1.000
saytlar;;;1242;2;1;115.634;1.000
sebepler;;;1242;2;1;115.634;1.000
seni?;;;1242;2;1;115.634;1.000
sezgen;;;1242;2;1;115.634;1.000
sezimleri;;;1242;2;1;115.634;1.000
shaxlar;;;1242;2;1;115.634;1.000
shay?rd?;;;1242;2;1;115.634;1.000
shay?r?a;;;1242;2;1;115.634;1.000
sha?araq;;;1242;2;1;115.634;1.000
sheberlerini?;;;1242;2;1;115.634;1.000
shegaralasqan;;;1242;2;1;115.634;1.000
sheginde;;;1242;2;1;115.634;1.000
shekidegi;;;1242;2;1;115.634;1.000
sheksiz;;;1242;2;1;115.634;1.000
sher?az?xan;;;1242;2;1;115.634;1.000
sheshiw;;;1242;2;1;115.634;1.000
shevchenkon??;;;1242;2;1;115.634;1.000
shirvon;;;1242;2;1;115.634;1.000
shirvonshahlar;;;1242;2;1;115.634;1.000
shusha;;;1242;2;1;115.634;1.000
shu??llan?wsh?;;;1242;2;1;115.634;1.000
sh?kirt;;;1242;2;1;115.634;1.000
sh?nl???;;;1242;2;1;115.634;1.000
sh???;;;1242;2;1;115.634;1.000
sh????s;;;1242;2;1;115.634;1.000
sh??armada;;;1242;2;1;115.634;1.000
sh??armalar?n??;;;1242;2;1;115.634;1.000
sh??ar?latu??n;;;1242;2;1;115.634;1.000
sh???s?nda;;;1242;2;1;115.634;1.000
simfoniyal?q;;;1242;2;1;115.634;1.000
sistemas?;;;1242;2;1;115.634;1.000
siyasat;;;1242;2;1;115.634;1.000
social;;;1242;2;1;115.634;1.000
solard??;;;1242;2;1;115.634;1.000
sonshelli;;;1242;2;1;115.634;1.000
son?n;;;1242;2;1;115.634;1.000
soraw;;;1242;2;1;115.634;1.000
sorlaq;;;1242;2;1;115.634;1.000
sotsial;;;1242;2;1;115.634;1.000
sovet;;;1242;2;1;115.634;1.000
stantsiya;;;1242;2;1;115.634;1.000
stantsiyas?;;;1242;2;1;115.634;1.000
stilde;;;1242;2;1;115.634;1.000
sultan;;;1242;2;1;115.634;1.000
summas?n;;;1242;2;1;115.634;1.000
suverenitetin;;;1242;2;1;115.634;1.000
suwda;;;1242;2;1;115.634;1.000
suwd?;;;1242;2;1;115.634;1.000
suwd??;;;1242;2;1;115.634;1.000
suwlar?;;;1242;2;1;115.634;1.000
suw?;;;1242;2;1;115.634;1.000
suw?q;;;1242;2;1;115.634;1.000
suw?armal?;;;1242;2;1;115.634;1.000
suw?ar?w;;;1242;2;1;115.634;1.000
s?ykes;;;1242;2;1;115.634;1.000
s?ylegen;;;1242;2;1;115.634;1.000
s?ylegende;;;1242;2;1;115.634;1.000
s?ytip;;;1242;2;1;115.634;1.000
s?zge;;;1242;2;1;115.634;1.000
s?zlerin;;;1242;2;1;115.634;1.000
s?wretke;;;1242;2;1;115.634;1.000
s?wretlenedi;;;1242;2;1;115.634;1.000
s?wretleri;;;1242;2;1;115.634;1.000
s?wretleydi;;;1242;2;1;115.634;1.000
s?yek;;;1242;2;1;115.634;1.000
s?ygen;;;1242;2;1;115.634;1.000
s?yikli;;;1242;2;1;115.634;1.000
s?rt;;;1242;2;1;115.634;1.000
s?yaql?lar;;;1242;2;1;115.634;1.000
taba;;;1242;2;1;115.634;1.000
tabad?;;;1242;2;1;115.634;1.000
tab?ld?;;;1242;2;1;115.634;1.000
tab?l?anl???;;;1242;2;1;115.634;1.000
tagizoda;;;1242;2;1;115.634;1.000
talaplar;;;1242;2;1;115.634;1.000
talay;;;1242;2;1;115.634;1.000
tamam;;;1242;2;1;115.634;1.000
tan?la;;;1242;2;1;115.634;1.000
tan?mal?;;;1242;2;1;115.634;1.000
tan?s;;;1242;2;1;115.634;1.000
tarawlar?;;;1242;2;1;115.634;1.000
tariyx?m?z;;;1242;2;1;115.634;1.000
tarqald?;;;1242;2;1;115.634;1.000
tarqalgan;;;1242;2;1;115.634;1.000
tarqal?an;;;1242;2;1;115.634;1.000
tasqa;;;1242;2;1;115.634;1.000
tast?y?qlaytu??n;;;1242;2;1;115.634;1.000
taw?p;;;1242;2;1;115.634;1.000
taxt?n;;;1242;2;1;115.634;1.000
tazalap;;;1242;2;1;115.634;1.000
ta?lap;;;1242;2;1;115.634;1.000
ta??;;;1242;2;1;115.634;1.000
tekslerdi;;;1242;2;1;115.634;1.000
telegraf;;;1242;2;1;115.634;1.000
temada;;;1242;2;1;115.634;1.000
temeki;;;1242;2;1;115.634;1.000
temperatura;;;1242;2;1;115.634;1.000
temur;;;1242;2;1;115.634;1.000
teoriya;;;1242;2;1;115.634;1.000
teoriyal?q;;;1242;2;1;115.634;1.000
teoriyas?;;;1242;2;1;115.634;1.000
terme;;;1242;2;1;115.634;1.000
termeler;;;1242;2;1;115.634;1.000
te?izdi;;;1242;2;1;115.634;1.000
te?izini?;;;1242;2;1;115.634;1.000
te?lik;;;1242;2;1;115.634;1.000
ti;;;1242;2;1;115.634;1.000
til;;;1242;2;1;115.634;1.000
tiyer;;;1242;2;1;115.634;1.000
tiygizdi;;;1242;2;1;115.634;1.000
tiykar;;;1242;2;1;115.634;1.000
tiykarlar?;;;1242;2;1;115.634;1.000
tiykar?;;;1242;2;1;115.634;1.000
tolish;;;1242;2;1;115.634;1.000
topar;;;1242;2;1;115.634;1.000
toparda??;;;1242;2;1;115.634;1.000
toplam?;;;1242;2;1;115.634;1.000
tor?ay;;;1242;2;1;115.634;1.000
tor?ayd?;;;1242;2;1;115.634;1.000
tosattan;;;1242;2;1;115.634;1.000
tovar;;;1242;2;1;115.634;1.000
toyda;;;1242;2;1;115.634;1.000
toz?w;;;1242;2;1;115.634;1.000
tropikal?q;;;1242;2;1;115.634;1.000
tropikas?;;;1242;2;1;115.634;1.000
turaql?;;;1242;2;1;115.634;1.000
turatu??n;;;1242;2;1;115.634;1.000
tuw;;;1242;2;1;115.634;1.000
tuw?an;;;1242;2;1;115.634;1.000
t?biyat;;;1242;2;1;115.634;1.000
t?liymat;;;1242;2;1;115.634;1.000
t?rbiyalaw?a;;;1242;2;1;115.634;1.000
t?rbiyal?q;;;1242;2;1;115.634;1.000
t?rbiyash?;;;1242;2;1;115.634;1.000
t?repinde;;;1242;2;1;115.634;1.000
t?riyplenedi;;;1242;2;1;115.634;1.000
t?rizli;;;1242;2;1;115.634;1.000
t?rtibin;;;1242;2;1;115.634;1.000
t?rtip;;;1242;2;1;115.634;1.000
t?sirin;;;1242;2;1;115.634;1.000
t?sirli;;;1242;2;1;115.634;1.000
t?menlep;;;1242;2;1;115.634;1.000
t?rtinshi;;;1242;2;1;115.634;1.000
t?lki;;;1242;2;1;115.634;1.000
t?lkishek;;;1242;2;1;115.634;1.000
t?rkistan;;;1242;2;1;115.634;1.000
t?rkiya;;;1242;2;1;115.634;1.000
t?rkmen;;;1242;2;1;115.634;1.000
t?s;;;1242;2;1;115.634;1.000
t?sindiriwinshe;;;1242;2;1;115.634;1.000
t?sinik;;;1242;2;1;115.634;1.000
t?sinikler;;;1242;2;1;115.634;1.000
t?siniwge;;;1242;2;1;115.634;1.000
t?sken;;;1242;2;1;115.634;1.000
t?netti?;;;1242;2;1;115.634;1.000
ulamalar;;;1242;2;1;115.634;1.000
umt?l?w;;;1242;2;1;115.634;1.000
un;;;1242;2;1;115.634;1.000
unaml?;;;1242;2;1;115.634;1.000
unatqan;;;1242;2;1;115.634;1.000
urad?;;;1242;2;1;115.634;1.000
ur?p;;;1242;2;1;115.634;1.000
ur?s;;;1242;2;1;115.634;1.000
ur?s?wsh?;;;1242;2;1;115.634;1.000
ur?w?nda??;;;1242;2;1;115.634;1.000
ur?w?n??;;;1242;2;1;115.634;1.000
usas;;;1242;2;1;115.634;1.000
usayd?;;;1242;2;1;115.634;1.000
ush?raw?;;;1242;2;1;115.634;1.000
usi;;;1242;2;1;115.634;1.000
ustas?;;;1242;2;1;115.634;1.000
us?lar;;;1242;2;1;115.634;1.000
us?lay;;;1242;2;1;115.634;1.000
us?n??;;;1242;2;1;115.634;1.000
us??an;;;1242;2;1;115.634;1.000
uyqas;;;1242;2;1;115.634;1.000
vedanta;;;1242;2;1;115.634;1.000
vii;;;1242;2;1;115.634;1.000
viii;;;1242;2;1;115.634;1.000
waqt?n;;;1242;2;1;115.634;1.000
waq?tlar;;;1242;2;1;115.634;1.000
waq?tlar?a;;;1242;2;1;115.634;1.000
waq?yan?;;;1242;2;1;115.634;1.000
web;;;1242;2;1;115.634;1.000
w?killerini?;;;1242;2;1;115.634;1.000
w?zir;;;1242;2;1;115.634;1.000
xalil;;;1242;2;1;115.634;1.000
xalq;;;1242;2;1;115.634;1.000
xalq?na;;;1242;2;1;115.634;1.000
xal?qqa;;;1242;2;1;115.634;1.000
xams?;;;1242;2;1;115.634;1.000
xanlar;;;1242;2;1;115.634;1.000
xat;;;1242;2;1;115.634;1.000
xatib;;;1242;2;1;115.634;1.000
xayratul;;;1242;2;1;115.634;1.000
xiywada;;;1242;2;1;115.634;1.000
xiywan??;;;1242;2;1;115.634;1.000
xoja;;;1242;2;1;115.634;1.000
xoqoniy;;;1242;2;1;115.634;1.000
xor;;;1242;2;1;115.634;1.000
xorasann??;;;1242;2;1;115.634;1.000
xviii;;;1242;2;1;115.634;1.000
x?zmeti;;;1242;2;1;115.634;1.000
yad?nda;;;1242;2;1;115.634;1.000
yoga;;;1242;2;1;115.634;1.000
yuridikal?q;;;1242;2;1;115.634;1.000
z;;;1242;2;1;115.634;1.000
zal;;;1242;2;1;115.634;1.000
zaman?n??;;;1242;2;1;115.634;1.000
zardusht;;;1242;2;1;115.634;1.000
zatlard?;;;1242;2;1;115.634;1.000
zavod?;;;1242;2;1;115.634;1.000
ziyrek;;;1242;2;1;115.634;1.000
zordan;;;1242;2;1;115.634;1.000
zulqarnay?n;;;1242;2;1;115.634;1.000
z?r?r;;;1242;2;1;115.634;1.000
z?yat;;;1242;2;1;115.634;1.000
?bdiraxman;;;1242;2;1;115.634;1.000
?dalats?z;;;1242;2;1;115.634;1.000
?debiyat?na;;;1242;2;1;115.634;1.000
?dep;;;1242;2;1;115.634;1.000
?dillik;;;1242;2;1;115.634;1.000
?jiniyazd?;;;1242;2;1;115.634;1.000
?jiniyaz?a;;;1242;2;1;115.634;1.000
?ke;;;1242;2;1;115.634;1.000
?kesini?;;;1242;2;1;115.634;1.000
?lbentten;;;1242;2;1;115.634;1.000
?lipbe;;;1242;2;1;115.634;1.000
?lisher;;;1242;2;1;115.634;1.000
?melge;;;1242;2;1;115.634;1.000
?mir;;;1242;2;1;115.634;1.000
?piway?lard??;;;1242;2;1;115.634;1.000
?sker;;;1242;2;1;115.634;1.000
?skerleri;;;1242;2;1;115.634;1.000
?tirap?nda??;;;1242;2;1;115.634;1.000
?zerbayjand?;;;1242;2;1;115.634;1.000
?lim;;;1242;2;1;115.634;1.000
?ltiriledi;;;1242;2;1;115.634;1.000
?mirbayan?;;;1242;2;1;115.634;1.000
?mirdi?;;;1242;2;1;115.634;1.000
?mirin;;;1242;2;1;115.634;1.000
?nimdarl???;;;1242;2;1;115.634;1.000
?simlikleri;;;1242;2;1;115.634;1.000
?sti;;;1242;2;1;115.634;1.000
?tip;;;1242;2;1;115.634;1.000
?tiwge;;;1242;2;1;115.634;1.000
?tkergen;;;1242;2;1;115.634;1.000
?tkeriw;;;1242;2;1;115.634;1.000
?tkeriwge;;;1242;2;1;115.634;1.000
?zbekstanda;;;1242;2;1;115.634;1.000
?zekleri;;;1242;2;1;115.634;1.000
?zgeriwi;;;1242;2;1;115.634;1.000
?zgeshelikler;;;1242;2;1;115.634;1.000
?zgeshelikleri;;;1242;2;1;115.634;1.000
?zinde;;;1242;2;1;115.634;1.000
?zinshe;;;1242;2;1;115.634;1.000
?shewi;;;1242;2;1;115.634;1.000
?stinde;;;1242;2;1;115.634;1.000
?stinen;;;1242;2;1;115.634;1.000
?y;;;1242;2;1;115.634;1.000
?yde;;;1242;2;1;115.634;1.000
?yge;;;1242;2;1;115.634;1.000
?yi;;;1242;2;1;115.634;1.000
?ylengen;;;1242;2;1;115.634;1.000
?yrek;;;1242;2;1;115.634;1.000
?yrendi;;;1242;2;1;115.634;1.000
?laqt?r?w;;;1242;2;1;115.634;1.000
?l?;;;1242;2;1;115.634;1.000
?qlas?;;;1242;2;1;115.634;1.000
?ql?m;;;1242;2;1;115.634;1.000
?ss?;;;1242;2;1;115.634;1.000
??al;;;1242;2;1;115.634;1.000
??rezsiz;;;1242;2;1;115.634;1.000
??rezsizlik;;;1242;2;1;115.634;1.000
abadanl???;;;2274;1;1;57.817;1.000
abayl?;;;2274;1;1;57.817;1.000
abbas;;;2274;1;1;57.817;1.000
abbashuq;;;2274;1;1;57.817;1.000
abbos;;;2274;1;1;57.817;1.000
abduda;;;2274;1;1;57.817;1.000
abdulloh;;;2274;1;1;57.817;1.000
abdulqodir;;;2274;1;1;57.817;1.000
abdurahmonov;;;2274;1;1;57.817;1.000
abduraxmanov;;;2274;1;1;57.817;1.000
abiddin;;;2274;1;1;57.817;1.000
abissiniyal?;;;2274;1;1;57.817;1.000
abram;;;2274;1;1;57.817;1.000
absolyutl?q;;;2274;1;1;57.817;1.000
ab?ray;;;2274;1;1;57.817;1.000
ab?royl?;;;2274;1;1;57.817;1.000
adamgershilik;;;2274;1;1;57.817;1.000
adamgershilikke;;;2274;1;1;57.817;1.000
adamlarda;;;2274;1;1;57.817;1.000
adamlar?n;;;2274;1;1;57.817;1.000
adamlar?n??;;;2274;1;1;57.817;1.000
adamnan;;;2274;1;1;57.817;1.000
adamxor;;;2274;1;1;57.817;1.000
adam?;;;2274;1;1;57.817;1.000
afinal?lar;;;2274;1;1;57.817;1.000
afrikaday;;;2274;1;1;57.817;1.000
afrikal?q;;;2274;1;1;57.817;1.000
afrikas?nda;;;2274;1;1;57.817;1.000
afrik?;;;2274;1;1;57.817;1.000
agentligi;;;2274;1;1;57.817;1.000
agentlikleri;;;2274;1;1;57.817;1.000
agrar;;;2274;1;1;57.817;1.000
ahamaniyler;;;2274;1;1;57.817;1.000
ahmad;;;2274;1;1;57.817;1.000
ajamiy;;;2274;1;1;57.817;1.000
ajapas?;;;2274;1;1;57.817;1.000
aja?as?;;;2274;1;1;57.817;1.000
ajiniyaz;;;2274;1;1;57.817;1.000
aj?rat?lad?;;;2274;1;1;57.817;1.000
aj?rat?p;;;2274;1;1;57.817;1.000
akademik;;;2274;1;1;57.817;1.000
akcionerdi?;;;2274;1;1;57.817;1.000
akcionerleri;;;2274;1;1;57.817;1.000
akcionerleskende;;;2274;1;1;57.817;1.000
akciyalar?n??;;;2274;1;1;57.817;1.000
akciyan??;;;2274;1;1;57.817;1.000
akespe;;;2274;1;1;57.817;1.000
akstafa;;;2274;1;1;57.817;1.000
aktivligi;;;2274;1;1;57.817;1.000
aktsionerlik;;;2274;1;1;57.817;1.000
aktsiyalard?;;;2274;1;1;57.817;1.000
aktsiyan?;;;2274;1;1;57.817;1.000
akula;;;2274;1;1;57.817;1.000
alam?z;;;2274;1;1;57.817;1.000
alatu??n;;;2274;1;1;57.817;1.000
alay?q;;;2274;1;1;57.817;1.000
albaniyas?;;;2274;1;1;57.817;1.000
albanlar;;;2274;1;1;57.817;1.000
aldama;;;2274;1;1;57.817;1.000
aldap;;;2274;1;1;57.817;1.000
ald?m;;;2274;1;1;57.817;1.000
ald?nda??;;;2274;1;1;57.817;1.000
ald?n??dan;;;2274;1;1;57.817;1.000
ald?r?p;;;2274;1;1;57.817;1.000
ald??a;;;2274;1;1;57.817;1.000
alekper;;;2274;1;1;57.817;1.000
alesker;;;2274;1;1;57.817;1.000
alfavit;;;2274;1;1;57.817;1.000
algologiya;;;2274;1;1;57.817;1.000
ali;;;2274;1;1;57.817;1.000
aliev;;;2274;1;1;57.817;1.000
alimov;;;2274;1;1;57.817;1.000
alisherge;;;2274;1;1;57.817;1.000
aliyev;;;2274;1;1;57.817;1.000
alizoda;;;2274;1;1;57.817;1.000
alla;;;2274;1;1;57.817;1.000
allamalar;;;2274;1;1;57.817;1.000
almagest;;;2274;1;1;57.817;1.000
almas;;;2274;1;1;57.817;1.000
almassa;;;2274;1;1;57.817;1.000
almast?r?l?anda;;;2274;1;1;57.817;1.000
almaym?z;;;2274;1;1;57.817;1.000
almaytu??n;;;2274;1;1;57.817;1.000
alma?a;;;2274;1;1;57.817;1.000
alp;;;2274;1;1;57.817;1.000
alp?s;;;2274;1;1;57.817;1.000
alsa?;;;2274;1;1;57.817;1.000
alt?nlar;;;2274;1;1;57.817;1.000
alt?nsh?;;;2274;1;1;57.817;1.000
al?mlard?;;;2274;1;1;57.817;1.000
al?mlard??;;;2274;1;1;57.817;1.000
al?mlar?n??;;;2274;1;1;57.817;1.000
al?nad?;;;2274;1;1;57.817;1.000
al?nba?an;;;2274;1;1;57.817;1.000
al?ngan;;;2274;1;1;57.817;1.000
al?n?w?;;;2274;1;1;57.817;1.000
al?pt?;;;2274;1;1;57.817;1.000
al?s;;;2274;1;1;57.817;1.000
al?sta;;;2274;1;1;57.817;1.000
al?wd?;;;2274;1;1;57.817;1.000
al?wlar?;;;2274;1;1;57.817;1.000
al?wsh?;;;2274;1;1;57.817;1.000
al?wsh?l?q;;;2274;1;1;57.817;1.000
al?anl???;;;2274;1;1;57.817;1.000
al?an?m?zd?;;;2274;1;1;57.817;1.000
al??slap;;;2274;1;1;57.817;1.000
aman;;;2274;1;1;57.817;1.000
amanb?sa?;;;2274;1;1;57.817;1.000
amangeldi;;;2274;1;1;57.817;1.000
amanqul;;;2274;1;1;57.817;1.000
amortizatsiya;;;2274;1;1;57.817;1.000
ana;;;2274;1;1;57.817;1.000
analar;;;2274;1;1;57.817;1.000
analiz;;;2274;1;1;57.817;1.000
anatomiyan?;;;2274;1;1;57.817;1.000
anatomiy?;;;2274;1;1;57.817;1.000
anaw;;;2274;1;1;57.817;1.000
ana?url?m;;;2274;1;1;57.817;1.000
and;;;2274;1;1;57.817;1.000
anekdotlar?;;;2274;1;1;57.817;1.000
anglichanl?;;;2274;1;1;57.817;1.000
angliyal?;;;2274;1;1;57.817;1.000
ansambli;;;2274;1;1;57.817;1.000
ant;;;2274;1;1;57.817;1.000
antaraktika;;;2274;1;1;57.817;1.000
antarctic;;;2274;1;1;57.817;1.000
antarktikan?;;;2274;1;1;57.817;1.000
antologiyas?;;;2274;1;1;57.817;1.000
antropologiya;;;2274;1;1;57.817;1.000
anvariy;;;2274;1;1;57.817;1.000
an?qlama;;;2274;1;1;57.817;1.000
an?qlanad?;;;2274;1;1;57.817;1.000
an?qland?;;;2274;1;1;57.817;1.000
an?qlap;;;2274;1;1;57.817;1.000
an?qlast?r?w;;;2274;1;1;57.817;1.000
an?ql?q;;;2274;1;1;57.817;1.000
apparatlar;;;2274;1;1;57.817;1.000
aqjigit;;;2274;1;1;57.817;1.000
aql?qlar?n;;;2274;1;1;57.817;1.000
aql???;;;2274;1;1;57.817;1.000
aqmaq;;;2274;1;1;57.817;1.000
aqquw;;;2274;1;1;57.817;1.000
aqshqa;;;2274;1;1;57.817;1.000
aqun;;;2274;1;1;57.817;1.000
aq?ls?z;;;2274;1;1;57.817;1.000
aq?l?;;;2274;1;1;57.817;1.000
aq?rg?;;;2274;1;1;57.817;1.000
aq?rlar?nda;;;2274;1;1;57.817;1.000
aq?r?na;;;2274;1;1;57.817;1.000
aq?r?nan;;;2274;1;1;57.817;1.000
aq?r??;;;2274;1;1;57.817;1.000
ar;;;2274;1;1;57.817;1.000
arabstan?;;;2274;1;1;57.817;1.000
arab?y;;;2274;1;1;57.817;1.000
araknologiya;;;2274;1;1;57.817;1.000
aralama?an?;;;2274;1;1;57.817;1.000
aralas;;;2274;1;1;57.817;1.000
aralast?r?p;;;2274;1;1;57.817;1.000
aralas?p;;;2274;1;1;57.817;1.000
aral?q;;;2274;1;1;57.817;1.000
aral?qlar?a;;;2274;1;1;57.817;1.000
aral?qqa;;;2274;1;1;57.817;1.000
aral???;;;2274;1;1;57.817;1.000
aral?a;;;2274;1;1;57.817;1.000
aranyaklar;;;2274;1;1;57.817;1.000
